tipo_factura,id_criterio,criterio,codigo_producto,precio,codigo_corte,corte,categoria
Venta Carne,36,FALDA DE COSTILLA,000022,17860.00,120,FALDA,Producto
Venta Carne,36,FALDA DE COSTILLA,000022,17860.00,120,FALDA,Producto
Venta Carne,36,FALDA DE COSTILLA,000022,17860.00,99,FALDA COSTILLA,Producto
Venta Carne,352,FRIJOLADA CERDO,000006,0.00,1384,FRIJOLADA,Producto
Venta Carne,30,HERRADERO (BOTA),000023,24669.00,125,HERRADERO,Producto
Venta Carne,30,HERRADERO (BOTA),000023,24669.00,125,HERRADERO,Producto
Venta Carne,30,HERRADERO (BOTA),000023,24669.00,125,HERRADERO,Producto
Venta Carne,115,HUESO CARNUDO,000024,4300.00,135,HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,135,HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,135,HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,135,HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,135,HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,135,HUESO CARNUDO,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,140,HUESO DE COGOTE,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,140,HUESO DE COGOTE,Producto Cárnico Comestible
Venta Carne,115,HUESO CARNUDO,000024,4300.00,140,HUESO DE COGOTE,Producto Cárnico Comestible
Venta Carne,353,HUESO CARNUDO CERDO,000007,0.00,1396,HUESO CARNUDO DE CERDO,Producto
Venta Carne,354,LENGUA DE CERDO,000008,11200.00,1400,LENGUA DE CERDO,Producto
Venta Carne,54,LENGUAS,000027,18500.00,921,LENGUA DE RES,Producto Cárnico Comestible
Venta Carne,54,LENGUAS,000027,18500.00,921,LENGUA DE RES,Producto
Venta Carne,54,LENGUAS,000027,18500.00,00,LENGUA DE RES.,Producto Cárnico Comestible
Venta Carne,109,LOMO ANCHO,000028,33700.00,859,(17487) CARNE RES LOMO ANCHO/CHATA/CHURRA 500G,Producto
Venta Carne,109,LOMO ANCHO,000028,33700.00,155,LOMO ANCHO,Producto
Venta Carne,109,LOMO ANCHO,000028,33700.00,155,LOMO ANCHO,Producto
Venta Carne,109,LOMO ANCHO,000028,33700.00,155,LOMO ANCHO,Producto
Venta Carne,29,LOMO BRAZO,000029,23200.00,160,LOMO DE BRAZO,Producto
Venta Carne,29,LOMO BRAZO,000029,23200.00,160,LOMO DE BRAZO,Producto
Venta Carne,29,LOMO BRAZO,000029,23200.00,160,LOMO DE BRAZO,Producto
Venta Carne,355,LOMO DE CERDO,000009,0.00,1385,LOMO DE CERDO,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,862,(18538) CARNE DE RES LOMO FINO X 500G,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,837,BABY BEEF,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,838,BIFE DE LOMO FINO,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,306,LOMO DE RES,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,165,LOMO FINO,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,165,LOMO FINO,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,165,LOMO FINO,Producto
Venta Carne,47,LOMO FINO,000047,38200.00,839,MEDALLONES DE LOMO,Producto
Venta Carne,111,MARTILLO,000030,22600.00,170,MARTILLO,Producto
Venta Carne,111,MARTILLO,000030,22600.00,170,MARTILLO,Producto
Venta Carne,111,MARTILLO,000030,22600.00,170,MARTILLO,Producto
Venta Carne,170,MILANESA,000058,0.00,976,MILANESA,Producto
Venta Carne,171,MOLIDA 85/15,000059,0.00,863,(17483) CARNE DE RES MOLIDA 85/15 500G,Producto
Venta Carne,171,MOLIDA 85/15,000059,0.00,364,MOLIDA ESPECIAL.,Producto
Venta Carne,171,MOLIDA 85/15,000059,0.00,975,MOLIDA INGREDIENTE 85/15,Producto
Venta Carne,68,MOLIDA CORRIENTE 80/20,000031,0.00,369,MOLIDA 80/20,Producto
Venta Carne,68,MOLIDA CORRIENTE 80/20,000031,0.00,370,MOLIDA 80/20,Producto
Venta Carne,153,MOLIDA ESPECIAL 90/10,000032,0.00,883,CARNE MOLIDA ESPECIAL INSTITUCIONAL 90/10,Producto
Venta Carne,153,MOLIDA ESPECIAL 90/10,000032,0.00,350,CARNE MOLIDA ESPECIAL INSTITUCIONAL 90/10,Producto
Venta Carne,153,MOLIDA ESPECIAL 90/10,000032,0.00,893,MOLIDA 90/10,Producto
Venta Carne,153,MOLIDA ESPECIAL 90/10,000032,0.00,365,MOLIDA ESPECIAL,Producto
Venta Carne,51,MOLIDA TRIMMING,000054,0.00,265,TRIMMING,Producto
Venta Carne,51,MOLIDA TRIMMING,000054,0.00,265,TRIMMING,Producto
Venta Carne,51,MOLIDA TRIMMING,000054,0.00,265,TRIMMING,Producto
Venta Carne,51,MOLIDA TRIMMING,000054,0.00,265,TRIMMING,Producto
Venta Carne,51,MOLIDA TRIMMING,000054,0.00,265,TRIMMING,Producto
Venta Carne,51,MOLIDA TRIMMING,000054,0.00,265,TRIMMING,Producto
Venta Carne,112,MONEDA,000033,0.00,175,MONEDA,Producto
Venta Carne,112,MONEDA,000033,0.00,175,MONEDA,Producto
Venta Carne,112,MONEDA,000033,0.00,175,MONEDA,Producto
Venta Carne,44,MORRILLO,000034,22100.00,180,MORRILLO,Producto
Venta Carne,44,MORRILLO,000034,22100.00,180,MORRILLO,Producto
Venta Carne,44,MORRILLO,000034,22100.00,180,MORRILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,185,MURILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,185,MURILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,185,MURILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,185,MURILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,185,MURILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,185,MURILLO,Producto
Venta Carne,35,MURILLO,000035,21800.00,63,MURILLO DELANTERO,Producto
Venta Carne,356,OSSOBUCO DE CERDO,000010,0.00,1395,OSSOBUCO DE CERDO,Producto
Venta Carne,43,PALETERO,000036,21900.00,195,PALETERO,Producto
Venta Carne,43,PALETERO,000036,21900.00,195,PALETERO,Producto
Venta Carne,43,PALETERO,000036,21900.00,195,PALETERO,Producto
Venta Carne,43,PALETERO,000036,21900.00,62,PALETERO INTERNO,Producto
Venta Carne,347,PANCETA DE CERDO,000011,24200.00,1391,PANCETA DE CERDO,Producto
Venta Carne,348,PAPADA DE CERDO,000012,0.00,1390,PAPADA DE CERDO,Producto
Venta Carne,236,P-ASADO DE TIRA,000016,1.00,1165,P-ASADO DE TIRA,Producto
Venta Carne,221,P-ASAR FINA DE RES,000001,1.00,1150,P-ASAR FINA DE RES,Producto
Venta Carne,222,P-ASAR TRADICIONAL,000002,1.00,1151,P-ASAR TRADICIONAL,Producto
Venta Carne,233,P-BABY BEEF,000013,1.00,1162,P-BABY BEEF,Producto
Venta Carne,273,P-BEEF DE LOMO FINO,000023,1.00,1255,P-BEEF DE LOMO FINO,Producto
Venta Carne,225,P-BIFE CHURRASCO,000005,1.00,1154,P-BIFE CHURRASCO,Producto
Venta Carne,228,P-BIFE DE PUNTA DE ANCA,000008,1.00,1157,P-BIFE DE PUNTA DE ANCA,Producto
Venta Carne,226,P-BIFE LOMO ANCHO,000006,1.00,1155,P-BIFE LOMO ANCHO,Producto
Venta Carne,234,P-BIFE PALETA,000014,1.00,1163,P-BIFE PALETA,Producto
Venta Carne,331,P-BLADE STEAK BONE,000035,29900.00,1370,P-BLADE STEAK BONE,Producto
Venta Carne,332,P-BRISKET STEAK BONE,000036,28200.00,1371,P-BRISKET STEAK BONE,Producto
Venta Carne,302,P-CARNE PARA HAMBURGUESA,000030,1.00,1011,CARNE PARA HAMBURGUESA,Producto Cárnico Comestible
Venta Carne,231,P-CARNE PARA OREAR,000011,1.00,1160,P-CARNE PARA OREAR,Producto
Venta Carne,321,P-CARNE X 220 GR,000033,35100.00,1361,P-CARNE X 220 GR,Producto
Venta Carne,239,P-CHULETON,000019,1.00,1168,P-CHULETON,Producto
Venta Carne,230,P-COLITA DE CUADRIL,000010,1.00,1159,P-COLITA DE CUADRIL,Producto
Venta Carne,229,P-CORAZON DE CUADRIL,000009,1.00,1158,P-CORAZON DE CUADRIL,Producto
